Amatitlania nanolutea
Amatitlania nigrofasciata
Amatitlania sajica
Amatitlania septemfasciata
Amatitlania siquia
Amatolacypris trevelyani
Amazonspinther dalmata
Amazonsprattus scintilla
Ambassis agassizii
Ambassis agrammus
Ambassis ambassis
Ambassis buruensis
Ambassis buton
Ambassis dussumieri
Ambassis elongata
Ambassis fontoynonti
Ambassis gymnocephalus
Ambassis interrupta
Ambassis jacksoniensis
Ambassis kopsii
Ambassis macleayi
Ambassis macracanthus
Ambassis marianus
Ambassis miops
Ambassis nalua
Ambassis natalensis
Ambassis urotaenia
Ambassis vachellii
Ambastaia nigrolineata
Ambastaia sidthimunki
Ambiserrula jugosa
Ambloplites ariommus
Ambloplites cavifrons
Ambloplites constellatus
Ambloplites rupestris
Amblyceps accari
Amblyceps apangi
Amblyceps arunachalense
Amblyceps caecutiens
Amblyceps carinatum
Amblyceps cerinum
Amblyceps foratum
Amblyceps kurzii
Amblyceps laticeps
Amblyceps macropterus
Amblyceps mangois
Amblyceps murraystuarti
Amblyceps platycephalus
Amblyceps protentum
Amblyceps serratum
Amblyceps tenuispinis
Amblyceps torrentis
Amblyceps tuberculatum
Amblyceps variegatum
Amblyceps waikhomi
Amblyceps yunnanense
Amblychaeturichthys hexanema
Amblychaeturichthys sciistius
Amblycirrhitus bimacula
Amblycirrhitus earnshawi
Amblycirrhitus oxyrhynchos
Amblycirrhitus pinos
Amblycirrhitus unimacula
Amblydoras affinis
Amblydoras bolivarensis
Amblydoras gonzalezi
Amblydoras monitor
Amblydoras nauticus
Amblydoras nheco
Amblyeleotris arcupinna
Amblyeleotris aurora
Amblyeleotris bellicauda
Amblyeleotris biguttata
Amblyeleotris bleekeri
Amblyeleotris callopareia
Amblyeleotris cephalotaenia
Amblyeleotris delicatulus
Amblyeleotris diagonalis
Amblyeleotris downingi
Amblyeleotris ellipse
Amblyeleotris fasciata
Amblyeleotris fontanesii
Amblyeleotris guttata
Amblyeleotris gymnocephala
Amblyeleotris harrisorum
Amblyeleotris japonica
Amblyeleotris latifasciata
Amblyeleotris macronema
Amblyeleotris marquesas
Amblyeleotris masuii
Amblyeleotris melanocephala
Amblyeleotris morishitai
Amblyeleotris neglecta
Amblyeleotris neumanni
Amblyeleotris novaecaledoniae
Amblyeleotris ogasawarensis
Amblyeleotris periophthalma
Amblyeleotris randalli
Amblyeleotris rhyax
Amblyeleotris rubrimarginata
Amblyeleotris steinitzi
Amblyeleotris stenotaeniata
Amblyeleotris sungami
Amblyeleotris taipinensis
Amblyeleotris triguttata
Amblyeleotris wheeleri
Amblyeleotris yanoi
Amblygaster clupeoides
Amblygaster indiana
Amblygaster leiogaster
Amblygaster sirm
Amblyglyphidodon aureus
Amblyglyphidodon batunaorum
Amblyglyphidodon curacao
Amblyglyphidodon flavilatus
Amblyglyphidodon flavopurpureus
Amblyglyphidodon indicus
Amblyglyphidodon leucogaster
Amblyglyphidodon melanopterus
Amblyglyphidodon orbicularis
Amblyglyphidodon silolona
Amblyglyphidodon ternatensis
Amblygobius albimaculatus
Amblygobius buanensis
Amblygobius bynoensis
Amblygobius calvatus
Amblygobius cheraphilus
Amblygobius decussatus
Amblygobius esakiae
Amblygobius linki
Amblygobius magnusi
Amblygobius nocturnus
Amblygobius phalaena
Amblygobius semicinctus
Amblygobius sewardii
Amblygobius sphynx
Amblygobius stethophthalmus
Amblygobius tekomaji
Amblyopsis hoosieri
Amblyopsis rosae
Amblyopsis spelaea
Amblyotrypauchen arctocephalus
Amblypharyngodon atkinsonii
Amblypharyngodon chulabhornae
Amblypharyngodon melettinus
Amblypharyngodon microlepis
Amblypharyngodon mola
Amblypomacentrus breviceps
Amblypomacentrus clarus
Amblypomacentrus vietnamicus
Amblyraja badia
Amblyraja doellojuradoi
Amblyraja frerichsi
Amblyraja georgiana
Amblyraja hyperborea
Amblyraja jenseni
Amblyraja radiata
Amblyraja reversa
Amblyraja robertsi
Amblyraja taaf
Amblyrhynchichthys micracanthus
Amblyrhynchichthys truncatus
Amblyrhynchotes honckenii
Amblyrhynchotes rufopunctatus
Ambophthalmos angustus
Ambophthalmos eurystigmatephoros
Ambophthalmos magnicirrus
Ameca splendens
Ameiurus brunneus
Ameiurus catus
Ameiurus melas
Ameiurus natalis
Ameiurus nebulosus
Ameiurus platycephalus
Ameiurus serracanthus
Amia calva
Amioides polyacanthus
Amissidens hainesi
Ammocrypta beanii
Ammocrypta bifascia
Ammocrypta clara
Ammocrypta meridiana
Ammocrypta pellucida
Ammocrypta vivax
Ammocryptocharax elegans
Ammocryptocharax lateralis
Ammocryptocharax minutus
Ammocryptocharax vintonae
Ammodytes americanus
Ammodytes dubius
Ammodytes hexapterus
Ammodytes marinus
Ammodytes personatus
Ammodytes tobianus
Ammodytoides gilli
Ammodytoides idai
Ammodytoides kanazawai
Ammodytoides kimurai
Ammodytoides leptus
Ammodytoides praematura
Ammodytoides pylei
Ammodytoides renniei
Ammodytoides vagus
Ammodytoides xanthops
Ammoglanis amapaensis
Ammoglanis diaphanus
Ammoglanis pulex
Ammolabrus dicrus
Ammotretis brevipinnis
Ammotretis elongatus
Ammotretis lituratus
Ammotretis macrolepis
Ammotretis rostratus
Amniataba affinis
Amniataba caudavittata
Amniataba percoides
Amoya gracilis
Amoya madraspatensis
Amoya signata
Amoya veliensis
Amphelikturus dendriticus
Amphiarius phrygiatus
Amphiarius rugispinis
Amphichaetodon howensis
Amphichaetodon melbae
Amphichthys cryptocentrus
Amphichthys rubigenis
Amphilius atesuensis
Amphilius athiensis
Amphilius brevis
Amphilius caudosignatus
Amphilius chalei
Amphilius crassus
Amphilius cryptobullatus
Amphilius dimonikensis
Amphilius frieli
Amphilius grandis
Amphilius jacksonii
Amphilius kakrimensis
Amphilius kivuensis
Amphilius korupi
Amphilius krefftii
Amphilius lamani
Amphilius lampei
Amphilius laticaudatus
Amphilius lentiginosus
Amphilius longirostris
Amphilius lujani
Amphilius maesii
Amphilius mamonekenensis
Amphilius natalensis
Amphilius nigricaudatus
Amphilius opisthophthalmus
Amphilius pedunculus
Amphilius platychir
Amphilius pulcher
Amphilius rheophilus
Amphilius ruziziensis
Amphilius uranoscopus
Amphilius zairensis
Amphilophus amarillo
Amphilophus astorquii
Amphilophus chancho
Amphilophus citrinellus
Amphilophus flaveolus
Amphilophus globosus
Amphilophus hogaboomorum
Amphilophus labiatus
Amphilophus lyonsi
Amphilophus margaritifer
Amphilophus sagittae
Amphilophus supercilius
Amphilophus tolteca
Amphilophus viridis
Amphilophus xiloaensis
Amphilophus zaliosus
Amphiprion akallopisos
Amphiprion akindynos
Amphiprion allardi
Amphiprion barberi
Amphiprion bicinctus
Amphiprion chagosensis
Amphiprion chrysogaster
Amphiprion chrysopterus
Amphiprion clarkii
Amphiprion ephippium
Amphiprion frenatus
